longitude,latitude,class
7.71151,36.80154,1
3.89974,36.49125,1
6.48137,36.95704,1
6.47715,36.95296,1
6.47926,36.95515,1
5.76894,36.74633,1
6.12171,36.77578,1
5.26629,36.58822,1
7.64089,36.15169,1
7.14611,35.07605,1
6.96543,34.57418,1
5.6321,36.1951,1
4.99723,35.96488,1
2.40236,33.14742,1
6.28508,36.8308,1
5.06823,35.97731,1
5.07095,35.97707,1
6.37884,36.11398,1
0.14656,35.91631,1
2.94334,36.71991,1
4.07648,36.31724,1
4.07722,36.32055,1
3.32742,33.12814,1
7.5752,35.32957,1
7.58087,35.3302,1
5.86651,36.05648,1
-0.17912,35.79881,1
0.29065,36.11929,1
0.29163,36.11886,1
7.43664,36.84708,1
7.43484,36.84489,1
5.68497,34.6974,1
3.36824,33.1403,1
4.50854,35.75366,1
5.63748,36.19254,1
4.97257,36.43796,1
6.94348,36.88162,1
5.48162,36.33083,1
3.8815,35.72548,1
3.87698,35.72507,1
-0.32757,35.79154,1
0.33118,34.80121,1
5.54671,36.36665,1
-0.94183,34.9469,1
2.83218,36.51089,1
2.71149,36.51007,1
2.71054,36.51262,1
5.60135,35.80168,1
3.04423,36.70697,1
3.36295,33.15141,1
3.02492,35.50806,1
6.95464,36.88232,1
-0.17924,35.79911,1
4.9556,35.44737,1
6.25854,36.75212,1
5.71195,34.98633,1
-0.59306,35.51101,1
6.27269,36.68075,1
6.89777,36.27981,1
4.99673,35.96445,1
-0.27316,35.53199,1
3.53213,36.44759,1
3.3427,36.65995,1
1.19637,36.13722,1
5.57934,35.53373,1
5.58359,35.53309,1
6.87249,34.64914,1
-1.3505,35.26979,1
-1.34808,35.26777,1
4.86043,36.09051,1
5.313,36.01944,1
5.30663,36.02097,1
5.30741,36.01978,1
2.76118,36.67076,1
2.76083,36.67039,1
2.75922,36.67131,1
4.44982,35.87755,1
-0.29226,35.82416,1
-0.20582,35.80076,1
-0.32662,35.78854,1
-0.59375,35.51257,1
2.6597,33.87237,1
2.99955,36.67628,1
2.88138,36.59811,1
7.17928,34.43378,1
7.61947,36.20877,1
2.09437,36.29023,1
1.19544,36.13836,1
2.06126,34.43891,1
6.86025,33.37949,1
2.91135,36.41356,1
6.26457,36.51558,1
5.40231,35.35512,1
3.06541,36.52309,1
6.25042,36.7286,1
3.01376,36.52438,1
5.6487,35.76459,1
6.96067,36.86416,1
0.44396,35.18823,1
5.88723,35.85039,1
3.35224,33.17765,1
5.8891,35.84543,1
6.92691,34.6484,1
-0.36017,35.84184,1
-0.66704,35.03614,1
2.65591,36.48745,1
2.89027,36.76162,1
5.89148,34.43791,1
-0.57625,35.63559,1
-0.21359,35.80231,1
5.18069,35.12455,1
0.43588,35.96037,1
4.07997,36.31907,1
2.75859,36.6699,1
6.83511,33.39867,1
3.46078,36.65466,1
5.00621,36.78964,1
5.00782,36.79076,1
3.18641,36.71041,1
3.06245,36.57798,1
4.08155,36.60469,1
2.78802,36.2879,1
3.42642,36.43331,1
2.65874,33.87235,1
7.07794,34.57323,1
2.93236,36.13986,1
8.16963,35.40376,1
5.57559,36.17767,1
5.70779,34.54826,1
7.22756,34.47049,1
7.10461,34.51709,1
6.9456,36.88155,1
5.97642,36.06452,1
3.26812,36.63007,1
6.9042,34.44403,1
-0.36771,35.84166,1
7.16579,34.47139,1
2.75118,36.47466,1
6.10017,36.13503,1
7.98413,36.20943,1
5.39765,35.26225,1
3.10044,36.59881,1
3.09944,36.60064,1
-0.25323,35.75919,1
1.1932,36.13927,1
1.19392,36.13834,1
3.04652,36.18711,1
0.235,36.09231,1
0.2396,36.0929,1
0.23558,36.08886,1
0.23157,36.08483,1
0.23618,36.08542,1
0.23215,36.08139,1
2.32054,36.13617,1
4.14455,36.71239,1
3.33074,36.75679,1
6.92038,36.83726,1
-0.19897,35.50571,1
3.45143,36.71125,1
3.44738,36.71149,1
1.73281,36.55008,1
-0.00752,35.77357,1
2.41051,36.17178,1
3.16879,36.54305,1
3.76704,36.83253,1
4.76246,35.71823,1
4.76316,35.71424,1
5.39441,36.20251,1
5.93911,34.19933,1
5.76481,36.6308,1
6.09372,36.60629,1
4.46872,36.88962,1
4.47366,36.88981,1
4.47114,36.88756,1
3.42187,36.49968,1
3.41656,36.4994,1
3.2315,36.58889,1
3.42718,36.49427,1
3.41535,36.49365,1
1.35669,35.33882,1
2.75347,36.47085,1
-0.24314,35.21357,1
6.55533,35.94255,1
5.00819,36.7881,1
3.95699,36.69561,1
3.95619,36.69233,1
3.13776,36.59694,1
3.46755,36.42399,1
4.99468,35.96657,1
1.35793,35.339,1
3.25712,34.56605,1
7.82464,36.08714,1
5.63865,36.19548,1
0.81178,36.18063,1
0.06211,35.18195,1
-0.17918,35.79866,1
5.46988,36.18557,1
5.46489,36.1882,1
5.46565,36.18493,1
6.16394,36.27272,1
6.16117,36.26552,1
4.08001,36.31971,1
6.02894,35.86682,1
0.745,35.79099,1
0.74487,35.78522,1
-0.34966,35.80913,1
3.02855,36.67163,1
3.06775,36.52211,1
-0.21746,35.8033,1
2.88155,36.59886,1
3.32435,33.12502,1
4.65871,36.28992,1
8.18789,35.24387,1
2.93251,36.14124,1
8.1757,35.40211,1
8.17199,35.40305,1
4.97307,36.43886,1
3.17849,36.70961,1
5.10941,34.39186,1
3.00888,36.67811,1
5.75964,34.85579,1
-0.59267,35.51208,1
-1.59198,34.92482,1
5.1092,34.39142,1
5.10825,34.38792,1
2.88141,36.59622,1
3.07501,36.6392,1
3.13338,36.66821,1
5.07352,35.97886,1
4.99804,35.9654,1
3.32995,36.75849,1
7.68277,36.79126,1
7.70147,36.79505,1
7.65598,36.82627,1
6.46804,34.68348,1
7.65472,36.73116,1
2.94836,35.90083,1
0.43112,35.95964,1
6.83622,36.6056,1
4.99471,35.96559,1
-0.21344,35.80198,1
6.94941,36.86485,1
-0.53108,35.72882,1
4.12387,36.67897,1
