longitude,latitude,class
6.04831,31.3646,1
5.63521,30.88265,1
6.55379,30.8393,1
7.01839,30.47289,1
7.02489,30.47259,1
7.85478,27.92492,1
7.86005,27.92458,1
6.97461,32.35599,1
6.98369,32.35925,1
6.98005,32.36015,1
0.32922,34.79844,1
4.99772,31.93894,1
7.02383,30.47081,1
6.78609,31.18803,1
6.47111,32.13511,1
6.46768,32.13594,1
0.46356,27.79751,1
7.85882,27.92134,1
9.15593,27.75263,1
7.02505,30.47286,1
7.02544,30.47296,1
2.05185,27.36117,1
9.53055,29.00015,1
5.11895,32.04588,1
5.12521,32.04639,1
5.00031,31.94004,1
5.28404,31.66571,1
6.78699,31.18781,1
6.79101,31.1881,1
7.02485,30.47092,1
7.02889,30.47121,1
7.06792,30.29582,1
4.02106,36.31458,1
6.32219,36.64869,1
7.36744,36.84657,1
4.48763,36.85779,1
3.53856,36.67799,1
7.36769,36.84068,1
9.77914,28.07905,1
-1.34159,35.31194,1
6.05112,31.36059,1
-0.59293,35.50983,1
9.4961,28.12878,1
9.1377,28.91543,1
9.13592,28.91206,1
7.86152,27.92065,1
9.01857,28.74121,1
6.84412,33.40137,1
5.63576,35.14898,1
2.68165,36.61966,1
1.95518,36.55723,1
4.47266,36.87138,1
6.74402,36.9488,1
6.20723,36.59489,1
5.97969,36.59901,1
5.9484,36.59603,1
5.26807,36.5534,1
5.27139,36.5578,1
5.26693,36.55734,1
5.68216,36.7063,1
6.75142,36.83382,1
4.30476,36.87276,1
5.00379,36.77668,1
4.99777,36.77604,1
5.00188,36.7792,1
5.00324,36.78063,1
4.99594,36.77861,1
2.81082,36.58563,1
5.63467,36.19465,1
7.42489,36.50715,1
6.46984,32.13776,1
6.97742,32.35482,1
6.97674,32.35788,1
6.9816,32.3605,1
6.4691,32.13447,1
4.99754,31.94279,1
5.00161,31.94218,1
7.02532,30.47199,1
5.65788,31.20443,1
6.78388,31.18822,1
6.78795,31.18753,1
6.78869,31.19084,1
6.05314,31.35948,1
7.5113,28.47903,1
7.86,27.9236,1
0.46205,27.7979,1
8.9232,28.76423,1
9.68056,28.6114,1
7.86131,27.92233,1
9.72726,28.04455,1
6.78841,31.18673,1
6.67082,30.17612,1
7.02555,30.47107,1
6.46943,32.13508,1
5.00081,31.94024,1
6.44422,32.15539,1
6.74216,29.67054,1
4.74333,32.17233,1
6.97699,32.35611,1
6.64426,36.8214,1
6.29472,36.84596,1
6.97717,32.35534,1
6.98268,32.3583,1
6.9778,32.35894,1
4.74112,32.17452,1
5.00124,31.94239,1
6.053,31.35917,1
6.78732,31.18753,1
7.02533,30.47462,1
7.02469,30.4711,1
6.47125,32.13643,1
7.8605,27.92225,1
0.45971,27.8019,1
7.86085,27.92021,1
3.74511,36.18373,1
5.47915,36.33093,1
7.86066,27.9227,1
3.32498,33.18111,1
3.32889,33.18209,1
5.75535,35.35413,1
5.75967,30.98283,1
6.78408,31.19259,1
5.92406,31.77693,1
4.99838,31.94064,1
4.99646,31.94158,1
6.46817,32.13683,1
6.97971,32.35821,1
6.97415,32.3585,1
6.9802,32.36438,1
7.0197,30.47618,1
7.02491,30.47587,1
7.85723,27.92177,1
7.85655,27.92514,1
6.7853,31.18707,1
6.0505,31.35715,1
6.98158,32.35794,1
3.32158,33.18429,1
3.327,33.18305,1
3.32458,33.18246,1
6.46777,32.13905,1
6.47197,32.13797,1
6.46585,32.13366,1
6.47007,32.13258,1
8.3604,31.29073,1
5.92916,31.77419,1
5.92588,31.7733,1
5.92982,31.77232,1
4.99602,31.94086,1
4.99954,31.94,1
